,節,開催日,Team,awayTeam,homeScore,awayScore,H or A_x,AGI_x,KAGI_x,CBP_x,shot_x,shot acc_x,possession_x,ACBP_x,PassCBP_x,InterceptP_x,DP_x,H or A_y,AGI_y,KAGI_y,CBP_y,shot_y,shot acc_y,possession_y,ACBP_y,PassCBP_y,InterceptP_y,DP_y
85,5,3.17,神戸,川崎Ｆ,1,1,H,54,44,6.2%,9,11.1%,49.5%,15.98,12.87,166.7,14.22,A,56,46,8.6%,13,7.7%,50.5%,19.37,16.15,128.84,16.96
84,5,8.3,仙台,Ｇ大阪,0,1,H,54,55,15.2%,16,0.0%,56.1%,16.81,13.22,81.04,12.88,A,45,46,10.6%,11,9.1%,43.9%,11.64,8.84,69.55,17.7
82,5,3.17,FC東京,湘南,3,2,H,57,43,13.2%,15,20.0%,47.0%,13.92,9.72,73.12,17.93,A,57,43,9.9%,12,16.7%,53.0%,14.68,10.47,85.32,11.31
86,5,3.17,Ｃ大阪,大分,1,0,H,51,71,5.3%,6,16.7%,50.7%,16.88,14.9,89.6,11.89,A,29,49,4.1%,5,0.0%,49.3%,13.8,12.19,91.36,13.71
90,5,3.17,鳥栖,柏,2,0,H,31,41,6.8%,8,25.0%,53.4%,8.8,7.71,83.01,24.82,A,59,69,9.2%,12,0.0%,46.6%,13.88,9.63,80.68,7.27
88,5,3.17,福岡,鹿島,1,0,H,48,39,5.0%,6,16.7%,51.0%,11.99,9.39,105.05,17.34,A,61,52,7.9%,10,0.0%,49.0%,11.31,9.61,78.76,12.05
118,6,3.21,柏,清水,1,2,H,48,53,9.6%,13,7.7%,62.9%,13.17,10.63,91.68,9.51,A,47,52,2.3%,3,66.7%,37.1%,5.16,4.43,85.01,20.73
108,6,3.21,鳥栖,福岡,0,0,H,49,53,13.0%,16,0.0%,67.1%,21.56,16.22,94.2,12.06,A,47,51,6.1%,7,0.0%,32.9%,7.12,6.56,91.37,15.82
116,6,3.21,湘南,Ｃ大阪,0,0,H,59,51,12.9%,15,0.0%,51.8%,16.78,13.29,110.11,15.68,A,49,41,10.3%,13,0.0%,48.2%,12.94,11.89,105.0,16.54
113,6,3.2,札幌,神戸,3,4,H,54,54,11.8%,15,20.0%,50.0%,19.43,13.5,112.56,15.64,A,46,46,10.1%,14,28.6%,50.0%,11.79,9.94,113.74,16.8
103,6,3.21,鹿島,名古屋,0,1,H,50,51,6.2%,8,0.0%,60.6%,13.95,12.3,67.76,9.54,A,49,50,4.7%,6,16.7%,39.4%,6.86,6.15,91.06,16.24
119,6,3.21,FC東京,仙台,2,1,H,53,57,13.8%,16,12.5%,46.0%,11.36,8.8,86.49,14.51,A,43,47,9.7%,11,9.1%,54.0%,10.79,8.65,77.32,10.71
107,6,3.21,大分,広島,1,3,H,35,44,8.1%,8,12.5%,44.0%,9.35,8.74,66.01,16.84,A,56,65,19.2%,20,15.0%,56.0%,22.18,16.05,89.62,9.78
111,6,3.21,浦和,川崎Ｆ,0,5,H,33,40,5.1%,6,0.0%,55.7%,11.55,10.33,107.52,11.77,A,60,67,13.9%,15,33.3%,44.3%,17.78,14.38,134.08,9.38
110,6,3.21,徳島,横浜FC,2,1,H,47,61,12.5%,13,7.7%,46.7%,11.5,9.46,91.89,14.88,A,39,53,9.5%,10,10.0%,53.3%,13.94,13.28,90.32,11.28
114,6,8.6,Ｇ大阪,横浜FM,2,3,H,53,38,17.4%,20,10.0%,48.9%,15.63,11.89,106.86,11.65,A,62,47,18.8%,19,15.8%,51.1%,22.55,18.03,93.69,11.91
129,7,4.3,浦和,鹿島,2,1,H,55,57,6.4%,8,25.0%,54.4%,13.36,11.51,83.37,9.58,A,43,45,12.1%,13,7.7%,45.6%,8.94,6.46,79.63,15.79
123,7,4.3,横浜FM,湘南,1,1,H,64,46,10.9%,14,7.1%,61.7%,25.33,21.77,90.2,12.9,A,54,36,9.3%,11,9.1%,38.3%,8.95,7.64,92.5,21.22
127,7,4.3,名古屋,FC東京,0,0,H,44,48,6.3%,8,0.0%,56.9%,16.17,13.86,102.76,15.82,A,52,56,6.9%,9,0.0%,43.1%,12.61,11.75,136.08,13.57
120,7,4.2,Ｃ大阪,鳥栖,1,0,H,42,50,13.6%,15,6.7%,42.0%,8.18,7.51,71.45,15.73,A,50,58,7.3%,8,0.0%,58.0%,14.94,12.4,74.52,11.76
133,7,4.3,仙台,神戸,0,2,H,48,53,5.6%,7,0.0%,48.0%,12.2,10.25,99.4,15.43,A,47,52,10.9%,13,15.4%,52.0%,12.21,11.57,100.32,13.11
122,7,4.3,横浜FC,柏,1,1,H,41,41,4.8%,6,16.7%,46.7%,7.1,6.0,64.68,17.28,A,59,59,12.4%,14,7.1%,53.3%,14.68,10.95,75.7,9.36
121,7,4.3,川崎Ｆ,大分,2,0,H,66,85,15.7%,17,11.8%,48.0%,26.28,24.02,94.91,11.17,A,15,34,4.8%,5,0.0%,52.0%,13.12,11.21,63.65,14.26
137,7,4.4,清水,徳島,0,3,H,52,64,13.3%,14,0.0%,49.8%,13.67,10.23,94.95,9.07,A,36,48,11.4%,12,25.0%,50.2%,10.79,7.82,85.82,13.25
130,7,4.3,福岡,札幌,1,2,H,51,45,12.5%,18,5.6%,43.8%,17.16,11.92,127.65,16.78,A,55,49,9.4%,13,15.4%,56.2%,18.94,15.33,139.59,18.88
134,7,4.3,広島,Ｇ大阪,0,0,H,51,58,12.3%,15,0.0%,49.7%,13.37,10.39,126.25,12.73,A,42,49,5.5%,7,0.0%,50.3%,11.88,9.49,95.09,15.07
150,8,4.7,清水,浦和,0,2,H,12,51,8.0%,8,0.0%,45.3%,11.65,10.93,71.75,13.11,A,49,88,9.3%,10,20.0%,54.7%,16.26,14.6,99.09,10.85
159,8,4.7,徳島,仙台,1,0,H,37,40,7.6%,9,11.1%,60.2%,7.76,7.06,86.39,17.17,A,60,63,11.8%,14,0.0%,39.8%,11.85,9.24,106.37,8.93
152,8,4.7,Ｇ大阪,福岡,0,0,H,49,52,8.4%,10,0.0%,61.3%,19.25,16.61,81.09,11.52,A,48,51,12.3%,13,0.0%,38.7%,9.48,7.85,122.99,14.39
144,8,4.7,川崎Ｆ,鳥栖,1,0,H,66,68,8.3%,10,10.0%,52.7%,22.66,19.66,132.41,9.52,A,32,34,7.0%,8,0.0%,47.3%,12.12,10.61,73.6,19.62
149,8,4.7,湘南,名古屋,0,0,H,34,30,2.9%,3,0.0%,38.0%,5.5,5.39,59.0,23.19,A,70,66,12.9%,15,0.0%,62.0%,25.02,19.17,68.58,7.42
143,8,4.7,横浜FC,広島,0,3,H,3,46,0.9%,1,0.0%,49.9%,11.57,10.82,95.3,11.23,A,54,97,14.4%,16,18.8%,50.1%,22.76,17.9,126.18,9.14
146,8,4.7,FC東京,札幌,2,1,H,42,36,8.1%,9,22.2%,42.1%,8.94,7.23,62.35,20.32,A,64,58,16.2%,16,6.3%,57.9%,19.67,16.27,94.02,8.42
140,8,4.6,横浜FM,Ｃ大阪,1,0,H,64,57,14.4%,20,5.0%,66.3%,23.38,17.31,115.19,9.81,A,43,36,9.5%,13,0.0%,33.7%,10.09,5.6,90.5,25.21
156,8,4.7,鹿島,柏,2,1,H,56,47,9.9%,14,14.3%,56.3%,16.22,12.91,116.13,14.81,A,53,44,6.5%,10,10.0%,43.7%,10.11,6.62,127.66,14.74
142,8,4.7,神戸,大分,1,0,H,33,85,7.8%,8,12.5%,49.4%,13.4,11.65,80.22,9.3,A,15,67,4.8%,5,0.0%,50.6%,13.3,12.2,81.81,7.85
173,9,4.11,大分,名古屋,0,3,H,44,60,9.4%,9,0.0%,55.3%,15.26,13.94,78.89,10.94,A,40,56,5.7%,6,33.3%,44.7%,11.87,10.11,84.94,13.37
166,9,4.11,浦和,徳島,1,0,H,33,64,6.8%,7,14.3%,47.0%,10.5,8.95,115.29,12.12,A,36,67,11.5%,12,0.0%,53.0%,13.65,11.87,100.34,7.99
177,9,4.11,柏,Ｇ大阪,1,0,H,64,58,16.5%,22,4.5%,49.1%,17.38,13.85,96.65,15.16,A,42,36,8.2%,10,0.0%,50.9%,10.82,8.9,108.83,20.34
169,9,4.11,神戸,清水,1,1,H,39,57,5.8%,7,14.3%,53.4%,14.95,12.31,104.35,10.37,A,43,61,11.5%,13,7.7%,46.6%,12.63,10.2,115.78,12.42
171,9,4.1,広島,湘南,0,1,H,56,55,9.2%,13,0.0%,62.7%,20.36,17.6,117.26,10.1,A,45,44,3.8%,5,20.0%,37.3%,7.04,6.76,118.66,19.66
161,9,4.11,鳥栖,横浜FC,3,0,H,46,62,7.3%,8,37.5%,49.4%,15.18,13.68,88.1,10.63,A,38,54,6.7%,8,0.0%,50.6%,13.68,10.65,100.77,13.97
160,9,4.11,札幌,鹿島,2,2,H,53,45,14.4%,17,11.8%,56.4%,18.17,12.6,84.62,11.82,A,55,47,12.9%,15,13.3%,43.6%,15.15,13.24,96.29,13.57
176,9,4.11,FC東京,川崎Ｆ,2,4,H,47,39,3.3%,4,50.0%,45.3%,12.22,8.57,105.35,15.56,A,61,53,10.3%,13,30.8%,54.7%,21.87,19.75,116.98,11.36
164,9,4.11,仙台,横浜FM,0,0,H,47,51,3.1%,4,0.0%,31.1%,5.2,3.99,92.15,21.13,A,49,53,5.4%,8,0.0%,68.9%,18.66,15.46,101.91,9.91
165,9,4.1,Ｃ大阪,福岡,2,2,H,73,56,9.8%,11,18.2%,68.8%,25.34,22.4,63.21,6.82,A,44,27,5.0%,5,40.0%,31.2%,6.14,5.27,85.24,27.04
199,10,4.17,福岡,FC東京,1,0,H,54,46,15.3%,17,5.9%,48.7%,12.08,8.01,97.61,16.19,A,54,46,6.5%,8,0.0%,51.3%,12.5,11.21,83.5,9.13
188,10,4.17,横浜FC,仙台,2,2,H,49,40,8.3%,10,20.0%,46.8%,10.33,9.28,100.56,17.04,A,60,51,15.6%,20,10.0%,53.2%,18.38,13.22,114.83,11.17
190,10,4.18,川崎Ｆ,広島,1,1,H,66,57,18.6%,22,4.5%,56.1%,25.99,23.88,103.52,8.65,A,43,34,5.3%,6,16.7%,43.9%,11.39,10.04,101.54,15.91
180,10,4.17,徳島,鹿島,0,1,H,27,37,7.0%,8,0.0%,64.2%,11.1,9.95,75.9,12.65,A,63,73,12.6%,14,7.1%,35.8%,14.31,10.5,102.87,12.07
183,10,4.16,札幌,横浜FM,1,3,H,54,49,12.9%,17,5.9%,46.4%,14.97,11.51,128.3,13.12,A,51,46,9.1%,13,23.1%,53.6%,18.33,14.94,87.23,14.84
197,10,4.17,大分,柏,0,1,H,42,54,7.8%,8,0.0%,58.2%,14.44,12.46,66.49,10.34,A,46,58,12.5%,12,8.3%,41.8%,11.8,9.37,65.24,13.83
198,10,4.18,Ｃ大阪,浦和,1,0,H,42,43,11.7%,13,7.7%,37.9%,10.98,8.18,97.22,14.86,A,57,58,13.6%,14,0.0%,62.1%,26.08,23.5,95.61,9.04
184,10,4.18,Ｇ大阪,清水,0,0,H,41,46,11.7%,13,0.0%,53.9%,16.31,13.25,68.27,14.62,A,54,59,11.9%,13,0.0%,46.1%,16.25,12.28,90.35,16.37
187,10,4.18,名古屋,鳥栖,1,2,H,45,74,7.2%,10,10.0%,61.0%,17.91,15.78,91.04,8.33,A,26,55,6.9%,9,22.2%,39.0%,7.52,6.37,107.09,18.07
185,10,4.17,湘南,神戸,0,0,H,51,54,10.0%,13,0.0%,42.3%,12.22,9.91,97.93,14.73,A,46,49,8.1%,11,0.0%,57.7%,15.78,12.58,111.88,14.97
214,11,4.24,札幌,仙台,2,1,H,52,46,14.3%,17,11.8%,65.7%,22.66,17.94,104.13,13.61,A,54,48,9.9%,12,8.3%,34.3%,10.77,8.47,93.93,18.06
203,11,4.24,柏,徳島,5,1,H,47,68,7.5%,9,55.6%,34.3%,10.28,9.2,100.08,8.88,A,32,53,8.5%,10,10.0%,65.7%,17.08,14.88,88.49,7.39
208,11,3.3,川崎Ｆ,Ｃ大阪,3,2,H,67,61,16.4%,18,16.7%,65.0%,33.06,27.86,82.54,8.02,A,39,33,10.4%,11,18.2%,35.0%,9.99,5.68,95.03,20.18
210,11,4.24,鹿島,神戸,1,1,H,58,59,9.0%,13,7.7%,53.5%,16.41,13.98,100.83,10.74,A,41,42,7.7%,11,9.1%,46.5%,9.87,8.91,119.23,18.55
200,11,4.25,浦和,大分,3,2,H,44,47,8.0%,9,33.3%,63.5%,22.34,18.32,86.73,13.7,A,53,56,14.8%,16,12.5%,36.5%,13.67,12.07,117.86,14.77
202,11,4.24,FC東京,鳥栖,1,2,H,53,71,8.8%,10,10.0%,55.3%,15.05,13.46,84.49,7.04,A,29,47,7.0%,8,25.0%,44.7%,9.59,8.27,91.69,16.7
211,11,4.24,横浜FM,横浜FC,5,0,H,62,59,19.4%,24,20.8%,60.1%,28.1,22.68,107.14,13.94,A,41,38,5.9%,7,0.0%,39.9%,11.07,9.39,83.36,14.57
209,11,4.25,清水,湘南,1,1,H,50,53,13.9%,16,6.3%,50.1%,15.61,14.09,70.27,13.42,A,47,50,9.1%,10,10.0%,49.9%,11.99,9.95,76.73,14.74
206,11,4.22,名古屋,Ｇ大阪,2,0,H,44,54,10.5%,11,18.2%,39.4%,10.6,8.26,78.25,15.9,A,46,56,11.4%,12,0.0%,60.6%,17.96,16.04,72.9,8.46
213,11,4.24,広島,福岡,1,2,H,60,64,8.3%,12,8.3%,61.1%,20.46,15.48,107.69,13.83,A,36,40,3.7%,5,20.0%,38.9%,5.53,4.83,112.13,21.5
239,12,5.2,Ｃ大阪,Ｇ大阪,1,1,H,56,51,13.8%,18,5.6%,46.9%,17.78,11.56,104.74,12.35,A,49,44,10.2%,13,7.7%,53.1%,13.19,10.22,127.29,16.18
236,12,5.1,横浜FC,鹿島,0,3,H,43,39,5.8%,7,0.0%,51.3%,9.86,8.52,82.75,11.44,A,61,57,13.1%,16,18.8%,48.7%,13.68,11.18,91.35,14.48
235,12,5.1,神戸,広島,3,0,H,42,41,12.1%,14,21.4%,49.6%,13.78,11.45,100.26,19.63,A,59,58,7.0%,8,0.0%,50.4%,18.79,15.75,85.31,8.47
220,12,5.1,FC東京,横浜FM,0,3,H,61,47,10.3%,14,0.0%,43.7%,13.54,10.51,90.45,11.95,A,53,39,13.8%,17,17.6%,56.3%,20.69,16.52,130.05,12.38
232,12,5.4,川崎Ｆ,名古屋,3,2,H,52,51,7.1%,9,22.2%,45.8%,13.27,11.32,121.93,12.69,A,49,48,6.9%,9,22.2%,54.2%,14.76,12.47,106.48,10.9
231,12,5.2,湘南,札幌,0,0,H,50,45,6.1%,8,0.0%,42.4%,8.65,7.5,98.53,15.44,A,55,50,13.0%,16,0.0%,57.6%,17.43,13.19,127.88,13.57
221,12,5.2,大分,清水,1,0,H,35,50,6.7%,7,14.3%,45.4%,12.15,9.84,97.32,15.97,A,50,65,10.3%,11,0.0%,54.6%,21.21,15.89,66.24,9.72
234,12,5.1,仙台,柏,1,0,H,52,45,7.4%,9,11.1%,41.0%,8.17,6.95,83.56,19.65,A,55,48,8.1%,10,0.0%,59.0%,16.29,13.12,68.05,11.58
237,12,5.1,福岡,浦和,2,0,H,43,49,13.8%,13,15.4%,31.5%,7.99,5.05,85.58,18.97,A,51,57,8.7%,9,0.0%,68.5%,26.22,22.38,82.87,10.12
222,12,5.1,鳥栖,徳島,2,0,H,44,92,9.4%,10,20.0%,44.2%,11.31,9.34,121.22,9.88,A,8,56,3.7%,4,0.0%,55.8%,10.26,9.3,82.14,9.85
257,13,5.9,横浜FM,神戸,2,0,H,46,80,12.5%,15,6.7%,54.5%,16.35,14.28,115.99,6.12,A,20,54,5.6%,7,0.0%,45.5%,9.87,8.9,96.45,15.61
241,13,5.8,鳥栖,広島,0,0,H,53,55,8.7%,10,0.0%,61.4%,17.27,16.93,91.25,11.52,A,45,47,8.7%,10,0.0%,38.6%,10.49,7.86,79.27,18.66
251,13,5.9,徳島,札幌,1,2,H,54,56,10.8%,14,7.1%,61.2%,17.94,14.75,102.0,11.23,A,44,46,5.7%,7,28.6%,38.8%,9.0,6.68,93.11,16.11
259,13,5.9,福岡,柏,1,0,H,56,55,7.4%,10,10.0%,48.0%,9.83,6.63,90.83,17.44,A,45,44,9.4%,12,0.0%,52.0%,14.27,9.47,99.13,13.41
248,13,5.9,清水,横浜FC,1,1,H,60,63,14.2%,15,6.7%,44.5%,16.07,11.42,86.82,11.05,A,37,40,10.9%,11,9.1%,55.5%,13.26,11.97,54.02,18.55
244,13,5.9,湘南,大分,2,0,H,58,59,8.0%,11,18.2%,41.2%,12.89,8.24,103.66,14.12,A,41,42,3.2%,4,0.0%,58.8%,14.3,13.2,87.06,14.86
246,13,5.9,鹿島,FC東京,3,0,H,72,70,16.1%,20,15.0%,62.7%,25.08,20.51,109.5,7.48,A,30,28,1.8%,2,0.0%,37.3%,6.04,4.97,84.77,15.95
242,13,5.9,浦和,仙台,2,0,H,45,52,7.3%,8,25.0%,61.7%,18.78,16.16,75.08,12.78,A,48,55,9.4%,10,0.0%,38.3%,12.19,9.7,115.64,14.01
240,13,5.8,名古屋,Ｃ大阪,1,0,H,54,54,8.7%,10,10.0%,49.0%,14.52,11.74,108.42,12.24,A,46,46,7.8%,10,0.0%,51.0%,14.57,10.33,84.84,14.02
258,13,5.8,Ｇ大阪,川崎Ｆ,0,2,H,48,31,6.4%,7,0.0%,36.6%,10.32,8.19,91.61,16.44,A,69,52,15.3%,17,11.8%,63.4%,28.53,23.09,100.02,9.43
269,14,5.16,川崎Ｆ,札幌,2,0,H,57,53,11.0%,13,15.4%,46.1%,17.85,12.89,107.4,17.19,A,47,43,10.7%,13,0.0%,53.9%,16.0,13.83,104.68,12.06
270,14,5.15,大分,鳥栖,1,1,H,45,48,10.8%,12,8.3%,57.8%,15.35,13.7,78.55,11.3,A,52,55,11.2%,12,8.3%,42.2%,12.97,11.71,89.78,17.65
272,14,5.15,清水,名古屋,0,3,H,39,44,7.7%,9,0.0%,48.0%,11.99,10.52,88.43,9.89,A,56,61,9.8%,12,25.0%,52.0%,14.87,13.53,122.8,12.89
275,14,5.16,Ｇ大阪,浦和,0,3,H,56,62,12.6%,14,0.0%,56.6%,21.38,19.64,91.77,6.7,A,38,44,10.4%,11,27.3%,43.4%,14.93,10.38,96.58,19.16
279,14,5.15,神戸,Ｃ大阪,1,1,H,38,53,11.3%,13,7.7%,55.4%,14.99,13.12,86.98,17.24,A,47,62,7.3%,9,11.1%,44.6%,10.25,8.35,111.17,12.01
268,14,5.15,広島,徳島,0,1,H,56,71,12.4%,16,0.0%,47.4%,15.71,10.49,101.31,9.32,A,29,44,4.0%,5,20.0%,52.6%,11.18,8.74,93.99,14.85
